Age,CreditScore,Balance,EstimatedSalary,Gender_Female,Gender_Male,Geography_France,Geography_Germany,Geography_Spain,Tenure,HasCrCard,IsActiveMember,NumOfProducts
-0.07660191732980101,-0.1772951344003911,1.168979414309462,-0.7619711697584073,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0
-0.8509803066577912,-1.0050315629729754,-1.2170740485175422,-1.03569544048356,1.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0,2.0
-1.4317640986537838,0.16414614238579986,-1.2170740485175422,1.3998294132427096,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0
-0.27019651466179856,0.25726649060021556,0.2572097623345396,-0.07767510509997717,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
-0.6573857093257937,1.395404079887519,0.7192245512371813,-0.3523587333466002,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
-0.5605884106597949,0.5883610620292492,-1.2170740485175422,-1.4718590313059852,1.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,2.0
-1.0445749039897887,0.784948463815238,0.5672391512519174,0.027398984068870154,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
-0.94777760532379,-0.787750750472672,0.7412636752418813,-0.8608963251704227,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0
0.8913710693301867,-0.33249571475775064,-1.2170740485175422,-1.4223146081396234,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0
-0.36699381332779735,1.302283731673103,0.7588546256482295,-0.4120803481346505,0.0,1.0,0.0,1.0,0.0,7.0,1.0,1.0,1.0
-0.8509803066577912,-0.18764183975754842,-1.2170740485175422,-1.0126988665976426,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0
-0.1733992159957998,-2.091435625474492,-1.2170740485175422,-0.30758952746435064,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0
-1.6253586959857813,2.057593222745586,-1.2170740485175422,-1.5686177608662526,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0
2.6337224453181647,-0.44630947368648094,0.7752137320921558,-0.5931926099879865,0.0,1.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0
-0.36699381332779735,-1.781034464759773,1.0128628440266292,-0.9151192470747608,0.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0
-0.27019651466179856,0.9298023388154402,-1.2170740485175422,-0.17489116030375232,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0
-0.1733992159957998,0.7332149370294515,-1.2170740485175422,-1.1817882825586106,0.0,1.0,0.0,0.0,1.0,9.0,1.0,0.0,2.0
-0.4637911119937961,1.395404079887519,0.9910494160839463,1.4581433904852048,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0
-0.7541830079917924,-1.1188453219017056,1.0064170030759327,-0.6612862934602282,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0
1.2785602639941818,-1.2119656701161212,-1.2170740485175422,0.0726557836288499,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
-0.27019651466179856,-0.1462550183289192,1.125896222299983,-0.05562936497876601,1.0,0.0,0.0,1.0,0.0,10.0,1.0,1.0,2.0
-0.5605884106597949,0.6504412941721931,0.7443788917560104,1.0899358853472643,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0
-1.2381695013217864,0.4124670709575751,0.9791735272138136,0.9283816443196641,0.0,1.0,1.0,0.0,0.0,9.0,1.0,0.0,1.0
-0.6573857093257937,-0.24972207190049223,-1.2170740485175422,0.05964766103628076,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,2.0
1.2785602639941818,1.9644728745311704,-1.2170740485175422,1.4504480037155225,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0
-0.27019651466179856,-1.7913811701169302,0.26768614271754704,-0.955808704643132,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0
0.2137899786681953,-0.0014011433287169732,0.9278839363681564,0.8949038068360781,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0
-0.4637911119937961,-1.4913267147593685,-1.2170740485175422,-0.6813840942295948,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0
0.40738457600019284,-0.787750750472672,-1.2170740485175422,-0.2829222972527396,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0
